Title,ISBN
The American dream : a short history of an idea that shaped a nation /,9780195158212;0195158210
The right to property : a theme in American history /,
Human nature in American thought : a history /,9780299079703;0299079708
The promise of pragmatism : modernism and the crisis of knowledge and authority /,9780226148793;0226148793
From homicide to slavery : studies in American culture /,9780195040890;0195040899
The social and cultural life of the 1920's /,9780030841590;0030841593
Democracy upside down : public opinion and cultural hegemony in the United States /,9780275924539;027592453X
"Revolt of the provinces : the Regionalist Movement in America, 1920-1945 /",9780807821015;0807821012
Encyclopedia of American cultural and intellectual history.,9780684805580;0684805588
Encyclopedia of American cultural and intellectual history.,9780684805597;0684805596
Encyclopedia of American cultural and intellectual history.,9780684805603;068480560X
"America, the view from Europe /",9780393009552;0393009556
"Walker Evans : photographs for the Farm Security Administration, 1935-1938 : a catalog of photographic prints available from the Farm Security Administration Collection in the Library of Congress /",9780306800085;030680008X
Ambition : the Secret Passion /,9780525052807;0525052801
Essays on the gilded age /,
The American Dream /,
The damned and the beautiful : American youth in the 1920's /,9780195021486;0195021487;9780195024920;0195024923
An end to innocence : essays on culture and politics /,
Progressive intellectuals and the dilemmas of democratic commitment /,9780674661608;0674661605
"The intellectual migration, Europe and America, 1930-1960 /",
The re-discovery of America : an introduction to a philosophy of American life /,
The gilded age : perspectives on the origins of modern America /,0742550370;9780742550377;0742550389;9780742550384
Writers and partisans : a history of literary radicalism in America /,
The American people : a study in national character /,
The Americans : a study in national character /,
The Greenwood guide to American popular culture.,9780313308789;0313308780;0313323682;9780313323683
The Greenwood guide to American popular culture.,9780313308789;0313308780;0313323704;9780313323706
The Greenwood guide to American popular culture.,9780313308789;0313308780;9780313323676;0313323674
The Greenwood guide to American popular culture.,9780313308789;0313308780;9780313323690;0313323690
The guide to United States popular culture /,9780879728212;0879728213
The gay nineties in America : a cultural dictionary of the 1890s /,9780313278198;0313278199
Democracy in an era of bigness : the American anarchy /,
America in the twenties : the beginnings of contemporary America /,9780030862502;0030862507
"Hot strip tease, and other notes on American culture /",
Left intellectuals and popular culture in twentieth-century America /,9780807845561;0807845566
The age of doubt : American thought and culture in the 1940s /,9780805790702;0805790705
America's heroes : the changing models of success in American magazines /,
America 1941 : a nation at the crossroads /,9780029128015;0029128013
"Heroes, highbrows and the popular mind /",
Handbook of American popular culture.,0313272417;9780313272417
Handbook of American popular culture.,9780313203251;0313203253
The myth of American exceptionalism /,0300125704;9780300125702;9780300164190;030016419X
Anti-intellectualism in American life /,
Anti-intellectualism in American life /,9780394703176;0394703170
American character and culture : some twentieth century perspectives /,
Handbook of American popular culture ... /,9780313213632;0313213631
Handbook of American popular culture ... /,9780313220258;0313220255
The American people in the twentieth century /,
The Distorted Image : Changing Conceptions of the American Character since Turner /,9780829501414;082950141X
The American Dream in the Great Depression /,9780837194783;0837194784
Heroes of popular culture /,9780879720445;0879720441
American civilisation : an introduction /,
In the American province : studies in the history and historiography of ideas /,9780801838262;0801838266
Making the American self : Jonathan Edwards to Abraham Lincoln /,9780674165557;0674165551
"The sea change : the migration of social thought, 1930-1965 /",9780060119980;0060119985
"America : a Dutch historian's vision, from afar and near /",
The idea of America : a reassessment of the American experiment /,9780884103615;0884103617
"In search of the simple life : American voices, past and present /",9780879052171;0879052171
Is America different? : a new look at American exceptionalism /,9780198277347;0198277342
The age of energy : varieties of American experience 1865-1915 /,9780670109661;0670109665
As others see us : the United States through foreign eyes /,
Culture and democracy in the United States /,9781560009665;1560009667
In the past lane : historical perspectives on American culture /,9780195111118;0195111117
Mystic chords of memory : the transformation of tradition in American culture /,9780394577692;0394577698
Spheres of liberty : changing perceptions of liberty in American culture /,9780299108403;0299108406
"From colony to country : the revolution in American thought, 1750-1820 /",9780025629301;0025629301
America set free /,
The iron of melancholy : structures of spiritual conversion in America from the Puritan conscience to Victorian neurosis /,9780819550705;0819550701
